age,salary,experience_years,weekly_study_hours,courses_completed,login_days_past30,membership,device,region,promo_opt_in,num_promo_emails_last3m,churn
,54434983.0,3,6.1,2,1,basic,mobile,대전광역시,1,18,1
35.0,3806599.0,5,5.2,5,29,premium,mobile,경기도,1,3,0
44.0,871710.0,0,4.5,5,30,basic,desktop,경기도,0,4,1
27.0,45477105.0,1,9.0,1,18,basic,desktop,경기도,1,3,1
31.0,27733413.0,5,7.3,5,23,basic,desktop,인천광역시,1,0,0
,16391404.0,13,7.6,5,18,basic,mobile,대전광역시,1,4,0
20.0,2878300.0,1,3.1,7,12,basic,mobile,대전광역시,0,5,1
37.0,,10,3.8,1,16,basic,desktop,광주광역시,0,5,1
37.0,63451959.0,16,13.7,5,30,basic,mobile,경기도,1,4,0
35.0,12111623.0,8,13.9,3,10,basic,tablet,경기도,1,2,0
32.0,33070482.0,11,6.0,1,28,basic,desktop,인천광역시,1,1,0
20.0,48936419.0,1,3.1,2,28,basic,mobile,대전광역시,1,4,1
30.0,44972495.0,6,3.4,3,19,basic,tablet,인천광역시,1,0,0
31.0,23832006.0,13,5.1,4,2,basic,desktop,대전광역시,0,4,1
26.0,39645856.0,0,4.5,1,4,basic,mobile,광주광역시,1,5,1
33.0,47246895.0,7,14.3,4,27,vip,mobile,경기도,0,0,0
39.0,48275736.0,15,4.2,2,29,basic,tablet,광주광역시,1,1,0
53.0,2588842.0,4,6.6,3,17,basic,desktop,대전광역시,0,1,1
36.0,67274983.0,4,4.9,0,18,basic,mobile,광주광역시,1,5,1
37.0,48468454.0,13,3.2,2,30,premium,tablet,대구광역시,1,4,0
,50563296.0,5,4.4,6,13,basic,mobile,서울특별시,1,0,0
18.0,3801283.0,0,6.8,5,11,basic,mobile,대전광역시,1,9,1
34.0,38178856.0,6,6.5,5,5,vip,desktop,서울특별시,1,4,0
35.0,56845339.0,16,6.9,4,25,basic,desktop,광주광역시,0,4,1
,44493880.0,8,3.5,1,4,vip,mobile,대전광역시,1,3,0
33.0,5517072.0,14,6.2,3,16,premium,mobile,대전광역시,1,3,0
38.0,4146894.0,12,6.8,2,4,premium,desktop,경기도,1,5,0
34.0,72375107.0,8,3.5,2,21,basic,mobile,광주광역시,1,1,0
,60872440.0,2,11.4,2,21,basic,mobile,경기도,1,3,1
46.0,4845955.0,15,3.6,3,0,premium,mobile,대구광역시,1,1,0
42.0,42190540.0,3,6.7,0,3,basic,tablet,대구광역시,1,2,1
,2011901.0,1,6.9,4,23,basic,tablet,부산광역시,0,4,1
25.0,72352062.0,4,4.7,10,20,basic,desktop,인천광역시,1,0,1
49.0,80817723.0,12,4.9,3,27,basic,mobile,울산광역시,0,3,1
20.0,73142101.0,2,6.0,2,13,basic,mobile,서울특별시,1,1,1
40.0,44963210.0,11,3.5,5,27,basic,tablet,대전광역시,1,6,0
56.0,4226828.0,35,4.1,4,25,basic,desktop,서울특별시,1,2,0
25.0,868634.0,1,6.2,2,0,basic,desktop,경기도,1,7,1
29.0,24744011.0,11,5.2,5,17,premium,mobile,경기도,1,6,0
35.0,9463106.0,7,15.0,9,1,basic,mobile,대구광역시,0,0,1
29.0,74085169.0,5,14.4,0,11,basic,tablet,인천광역시,0,0,1
19.0,47875060.0,1,6.5,2,20,premium,tablet,대구광역시,1,4,0
,54534843.0,6,6.2,2,11,premium,desktop,울산광역시,0,10,0
24.0,5751193.0,6,3.2,2,30,basic,tablet,대전광역시,0,12,1
39.0,7979523.0,13,14.4,9,20,vip,tablet,울산광역시,1,2,0
25.0,20177657.0,2,6.7,1,0,basic,desktop,경기도,0,12,1
50.0,19960472.0,20,4.5,2,17,basic,desktop,경기도,1,2,0
27.0,9344443.0,4,8.4,2,23,premium,desktop,부산광역시,1,5,0
31.0,1844931.0,8,5.4,1,14,basic,mobile,경기도,0,2,1
43.0,,2,4.9,3,28,premium,mobile,대전광역시,1,1,0
,2304950.0,1,6.3,3,17,basic,tablet,부산광역시,1,1,1
37.0,32651671.0,14,3.4,3,26,premium,tablet,부산광역시,1,4,0
48.0,69218579.0,19,4.0,4,29,basic,tablet,대전광역시,1,4,0
,68246710.0,0,8.8,2,17,basic,mobile,대전광역시,0,0,1
36.0,52332674.0,16,8.8,1,1,premium,mobile,대구광역시,1,5,0
37.0,31057028.0,5,5.8,5,21,premium,desktop,인천광역시,1,2,0
42.0,31557106.0,24,8.4,6,4,vip,desktop,대전광역시,1,4,0
22.0,10536146.0,2,6.6,4,22,basic,mobile,광주광역시,0,5,1
21.0,42501934.0,1,4.8,2,24,basic,mobile,서울특별시,1,3,1
,44883606.0,4,5.4,3,29,premium,mobile,광주광역시,1,3,0
37.0,65329447.0,12,4.8,2,29,basic,tablet,경기도,1,4,0
37.0,4466358.0,0,3.7,3,3,basic,desktop,인천광역시,0,4,1
38.0,70672140.0,16,13.2,2,13,basic,tablet,울산광역시,0,7,1
28.0,35140651.0,9,10.3,2,18,vip,desktop,대전광역시,1,1,0
,8284042.0,2,4.0,3,12,basic,mobile,대구광역시,1,2,1
37.0,,18,12.3,3,15,premium,tablet,대구광역시,0,15,0
27.0,56721175.0,4,6.0,2,18,basic,desktop,대전광역시,1,3,1
53.0,72985705.0,11,5.5,1,25,basic,tablet,대구광역시,1,6,0
39.0,56308050.0,7,9.6,2,1,vip,mobile,부산광역시,1,12,0
23.0,6696218.0,2,4.2,7,27,basic,desktop,부산광역시,1,0,1
41.0,58100267.0,19,4.0,3,17,basic,mobile,부산광역시,1,3,0
25.0,65932511.0,0,8.4,1,28,basic,desktop,광주광역시,0,5,1
42.0,45147275.0,15,,4,26,basic,tablet,경기도,0,2,1
46.0,50214308.0,13,11.3,2,14,premium,desktop,대전광역시,1,18,0
26.0,14554722.0,6,4.8,1,11,basic,tablet,대전광역시,1,1,0
44.0,74194672.0,5,4.3,5,17,basic,mobile,울산광역시,1,4,0
,108096382.0,20,12.1,2,11,basic,mobile,서울특별시,1,1,0
43.0,48752423.0,3,10.1,0,29,premium,desktop,대구광역시,1,2,0
53.0,70660025.0,21,6.2,1,18,premium,mobile,대구광역시,1,4,0
32.0,17120320.0,7,3.2,3,14,premium,desktop,광주광역시,1,2,0
27.0,2888827.0,5,3.5,1,29,basic,tablet,울산광역시,1,3,0
26.0,13408171.0,2,7.5,2,19,basic,desktop,울산광역시,1,5,1
26.0,3028216.0,8,4.6,2,30,basic,desktop,대전광역시,1,2,0
34.0,4211027.0,2,4.5,4,26,basic,desktop,서울특별시,0,5,1
38.0,10322037.0,3,5.3,3,25,basic,mobile,서울특별시,1,4,1
,58564185.0,12,9.4,2,18,vip,tablet,광주광역시,1,0,0
43.0,5927985.0,20,7.0,1,3,vip,desktop,대구광역시,1,3,0
35.0,,1,5.9,1,27,premium,tablet,인천광역시,0,5,1
49.0,14972072.0,10,3.7,2,15,basic,mobile,울산광역시,0,5,1
32.0,,9,4.6,4,14,basic,desktop,인천광역시,0,0,1
62.0,80203314.0,26,13.8,1,22,basic,desktop,서울특별시,1,0,0
41.0,11220492.0,9,3.4,4,28,premium,tablet,울산광역시,1,0,0
26.0,11369555.0,1,5.8,5,30,premium,tablet,경기도,1,11,0
24.0,0.0,5,5.4,6,25,premium,tablet,서울특별시,1,5,0
39.0,42028828.0,13,6.2,3,10,premium,desktop,대구광역시,0,12,0
32.0,47103768.0,1,12.1,5,13,vip,desktop,서울특별시,1,1,0
42.0,65754793.0,9,6.3,1,15,basic,tablet,경기도,1,4,0
39.0,6944994.0,16,5.6,3,27,basic,tablet,광주광역시,1,2,0
34.0,61945100.0,7,5.1,3,15,vip,tablet,인천광역시,1,5,0
26.0,49975674.0,0,5.8,4,14,premium,mobile,울산광역시,1,2,0
19.0,2645663.0,1,4.9,1,5,premium,desktop,인천광역시,1,14,0
30.0,53733409.0,5,3.9,1,10,basic,tablet,서울특별시,1,0,0
43.0,8044218.0,11,6.5,0,22,basic,mobile,광주광역시,1,3,0
37.0,43564441.0,16,6.5,1,21,basic,desktop,경기도,1,3,0
22.0,1476070.0,4,9.6,5,19,basic,mobile,대전광역시,0,5,1
36.0,46280686.0,18,4.2,5,30,premium,tablet,서울특별시,1,4,0
38.0,2040063.0,4,5.0,2,14,basic,mobile,서울특별시,1,4,1
26.0,1968038.0,0,5.0,3,20,vip,mobile,대전광역시,0,1,1
36.0,56253095.0,0,5.0,1,26,basic,tablet,경기도,1,3,1
35.0,59879479.0,13,4.1,4,14,basic,tablet,광주광역시,0,4,1
23.0,53482917.0,3,6.7,6,5,basic,desktop,광주광역시,1,4,1
38.0,14977075.0,8,6.7,6,20,basic,mobile,부산광역시,1,2,0
,4151123.0,16,5.3,2,19,premium,tablet,울산광역시,1,18,0
45.0,45574157.0,2,13.2,1,24,basic,tablet,인천광역시,1,0,1
,7685718.0,12,5.1,0,22,basic,tablet,서울특별시,1,3,0
21.0,54692333.0,3,5.5,2,30,premium,desktop,대구광역시,1,3,0
25.0,12868835.0,7,14.3,2,18,basic,mobile,서울특별시,1,15,0
40.0,5795688.0,3,4.6,6,12,basic,tablet,서울특별시,1,0,1
40.0,67867595.0,17,3.9,6,21,basic,mobile,대구광역시,1,2,0
40.0,41877904.0,22,14.8,7,10,premium,tablet,대전광역시,0,4,0
65.0,48469905.0,34,9.2,2,22,vip,tablet,인천광역시,1,0,0
40.0,60065267.0,16,6.7,3,3,premium,mobile,부산광역시,0,1,1
46.0,66019966.0,0,4.6,6,3,vip,mobile,광주광역시,1,3,1
44.0,64084542.0,18,3.0,2,15,basic,desktop,부산광역시,1,6,0
41.0,49041832.0,21,5.3,6,18,basic,desktop,서울특별시,0,3,1
31.0,31189660.0,3,3.8,1,30,premium,mobile,서울특별시,1,1,0
42.0,35015954.0,16,6.5,3,0,premium,tablet,울산광역시,1,3,0
27.0,54089502.0,6,10.5,4,26,premium,desktop,대구광역시,1,0,0
,55133383.0,1,4.9,3,24,basic,mobile,대전광역시,1,4,1
30.0,4506603.0,11,3.1,1,26,basic,desktop,대구광역시,0,7,1
35.0,10222848.0,4,10.6,6,28,basic,mobile,서울특별시,0,5,1
58.0,59468365.0,39,,3,12,basic,tablet,부산광역시,1,5,0
18.0,32731600.0,0,6.0,4,15,basic,desktop,울산광역시,1,1,1
41.0,15524986.0,22,13.1,6,19,premium,desktop,부산광역시,1,4,0
18.0,2244937.0,0,6.1,2,3,basic,desktop,인천광역시,1,4,1
30.0,68864196.0,10,6.1,2,29,basic,desktop,대전광역시,1,0,0
45.0,41998213.0,27,3.4,2,0,vip,mobile,경기도,1,0,0
35.0,34600617.0,7,5.9,1,27,basic,mobile,서울특별시,1,2,0
24.0,43127945.0,4,4.7,4,5,basic,desktop,대전광역시,0,4,1
27.0,48572778.0,9,5.4,2,11,premium,tablet,광주광역시,1,1,0
,44172801.0,13,5.3,4,24,premium,mobile,광주광역시,0,2,0
27.0,8919992.0,5,7.6,0,20,basic,mobile,부산광역시,1,4,0
37.0,55009477.0,15,4.8,5,29,premium,tablet,대구광역시,1,4,0
35.0,47432309.0,14,11.1,0,2,basic,desktop,대구광역시,1,4,1
28.0,49008314.0,1,12.4,0,0,premium,desktop,부산광역시,1,2,1
56.0,24361604.0,28,4.2,2,13,basic,mobile,인천광역시,1,1,0
41.0,55875470.0,17,6.0,8,22,basic,tablet,서울특별시,0,4,1
18.0,48661950.0,0,5.4,3,10,basic,tablet,경기도,0,0,1
,6220585.0,13,4.8,4,11,premium,mobile,광주광역시,0,6,0
28.0,35906522.0,1,3.5,1,18,premium,desktop,부산광역시,1,1,0
43.0,958523.0,21,5.0,1,20,premium,desktop,대전광역시,1,4,0
27.0,4236136.0,1,3.9,2,16,basic,tablet,대구광역시,0,3,1
33.0,55197905.0,2,4.2,3,12,premium,tablet,서울특별시,1,1,0
40.0,34873504.0,7,6.2,4,26,basic,tablet,광주광역시,1,2,0
43.0,27053765.0,10,6.1,4,22,basic,tablet,인천광역시,1,0,0
22.0,6074793.0,3,6.6,2,26,basic,tablet,부산광역시,1,3,1
,5828220.0,3,5.4,6,15,basic,tablet,서울특별시,1,15,1
30.0,0.0,8,3.2,4,13,basic,tablet,대전광역시,0,11,1
28.0,43126654.0,7,4.6,4,30,premium,tablet,광주광역시,1,4,0
52.0,18320960.0,15,4.8,4,17,basic,tablet,인천광역시,1,2,0
39.0,42859061.0,16,12.4,0,29,basic,mobile,대구광역시,0,4,1
22.0,42640816.0,3,6.4,8,18,premium,desktop,서울특별시,0,2,1
44.0,45758610.0,25,3.2,3,15,basic,mobile,대전광역시,1,4,0
,33186545.0,21,9.7,4,23,basic,mobile,경기도,1,2,0
,1476121.0,6,5.3,5,24,basic,tablet,부산광역시,0,2,1
19.0,65788209.0,1,6.7,6,25,basic,tablet,광주광역시,0,4,1
30.0,22355946.0,12,4.8,5,21,vip,tablet,울산광역시,1,1,0
47.0,53709071.0,3,4.2,0,23,vip,mobile,경기도,1,4,0
27.0,4773158.0,7,9.9,4,22,basic,tablet,울산광역시,1,1,0
39.0,2743868.0,13,13.0,1,1,basic,tablet,대구광역시,1,4,1
42.0,36135973.0,13,5.3,1,22,basic,desktop,대전광역시,1,4,0
25.0,68197687.0,5,6.7,2,2,basic,tablet,대전광역시,1,1,1
34.0,57993375.0,13,4.1,2,16,basic,desktop,경기도,1,4,0
18.0,1765428.0,0,4.3,3,12,basic,mobile,대구광역시,0,2,1
24.0,68033735.0,5,4.8,1,15,premium,desktop,광주광역시,0,1,0
32.0,68098035.0,3,3.8,4,19,basic,tablet,광주광역시,0,4,1
22.0,54035790.0,1,3.7,1,22,basic,tablet,광주광역시,0,17,1
51.0,36497596.0,22,5.9,4,29,basic,desktop,서울특별시,1,10,0
20.0,,1,12.7,2,22,basic,desktop,부산광역시,1,1,1
,54295801.0,2,5.6,4,21,basic,tablet,대구광역시,0,2,1
36.0,47171077.0,12,4.7,3,26,vip,desktop,울산광역시,1,0,0
49.0,64084357.0,11,6.5,10,22,basic,desktop,인천광역시,1,5,0
20.0,27053388.0,2,4.0,2,0,basic,tablet,광주광역시,0,5,1
46.0,11472.0,18,6.6,2,10,basic,mobile,울산광역시,1,4,0
35.0,52713066.0,1,6.5,4,15,basic,mobile,부산광역시,1,4,1
25.0,2016911.0,7,4.5,4,26,basic,tablet,인천광역시,0,0,1
39.0,6864756.0,20,6.5,6,28,basic,desktop,서울특별시,1,3,0
,23479149.0,2,3.1,1,23,basic,mobile,경기도,1,1,1
28.0,50293187.0,9,12.7,3,10,basic,desktop,대구광역시,0,1,1
35.0,49208673.0,4,13.5,2,13,premium,tablet,부산광역시,1,1,0
31.0,13267394.0,11,9.3,4,22,basic,desktop,울산광역시,1,11,0
36.0,51033591.0,6,6.2,4,18,premium,mobile,경기도,1,1,0
41.0,48010938.0,8,14.5,3,5,vip,desktop,부산광역시,1,1,0
,67655009.0,1,3.5,4,12,vip,mobile,대구광역시,1,2,0
,3437663.0,0,5.4,1,27,basic,desktop,대구광역시,1,6,1
56.0,58045838.0,9,6.7,2,12,premium,mobile,대전광역시,1,1,0
,24932792.0,0,3.2,3,29,basic,desktop,울산광역시,1,0,1
33.0,37424571.0,5,5.3,4,26,basic,mobile,광주광역시,1,13,0
40.0,31810143.0,11,6.0,2,11,premium,mobile,울산광역시,1,19,0
37.0,13909712.0,5,5.0,4,14,basic,tablet,경기도,1,2,0
28.0,49018846.0,10,15.0,4,26,basic,desktop,대구광역시,1,0,0
32.0,9932483.0,2,13.1,4,5,basic,mobile,부산광역시,1,3,1
,4466335.0,9,4.7,2,27,basic,desktop,광주광역시,1,1,0
29.0,45504597.0,8,6.6,2,4,premium,desktop,울산광역시,1,4,0
43.0,6182673.0,19,12.0,9,23,basic,tablet,대구광역시,1,3,0
38.0,55751825.0,4,14.1,3,28,premium,mobile,경기도,1,5,0
28.0,35133632.0,2,5.1,2,25,vip,mobile,인천광역시,1,0,0
43.0,16648971.0,4,4.9,2,21,premium,desktop,울산광역시,0,1,1
38.0,24866293.0,7,4.8,3,28,premium,tablet,인천광역시,1,3,0
43.0,5967400.0,7,3.2,1,15,basic,mobile,대구광역시,0,18,1
41.0,75158007.0,13,9.7,5,24,basic,mobile,대전광역시,1,6,0
26.0,2129722.0,7,5.6,2,19,basic,desktop,울산광역시,0,2,1
29.0,30276820.0,5,5.0,2,26,premium,mobile,부산광역시,1,5,0
42.0,53286073.0,16,4.3,3,27,basic,desktop,광주광역시,1,2,0
,42869116.0,10,,3,2,premium,mobile,대전광역시,0,19,1
34.0,5820648.0,15,5.7,3,19,basic,mobile,광주광역시,1,3,0
,4520645.0,5,5.8,2,20,basic,tablet,광주광역시,1,1,0
47.0,91525604.0,27,6.2,2,0,basic,mobile,서울특별시,0,18,1
29.0,,10,4.9,2,30,premium,mobile,경기도,1,0,0
40.0,21116489.0,9,4.8,2,2,vip,tablet,대구광역시,0,16,0
32.0,72405646.0,6,6.1,3,10,premium,mobile,대전광역시,0,2,0
32.0,4222141.0,13,6.1,2,10,basic,desktop,서울특별시,1,3,0
,1467067.0,8,3.9,3,4,basic,desktop,대전광역시,1,5,1
43.0,5334404.0,23,6.2,2,22,basic,tablet,서울특별시,1,4,0
43.0,4346945.0,23,4.1,1,27,premium,mobile,인천광역시,0,5,0
48.0,46296225.0,14,,1,30,basic,tablet,광주광역시,1,1,0
35.0,0.0,6,9.3,2,15,premium,tablet,서울특별시,0,4,0
41.0,76808599.0,17,3.6,2,3,basic,mobile,울산광역시,1,3,1
31.0,43490143.0,0,13.3,3,10,basic,mobile,부산광역시,1,1,1
38.0,72433576.0,14,3.1,2,3,premium,mobile,대구광역시,1,7,0
33.0,69176524.0,1,3.9,2,2,premium,tablet,경기도,1,4,1
35.0,34984856.0,1,,3,11,basic,tablet,부산광역시,1,0,1
40.0,65497847.0,9,5.9,2,19,basic,tablet,경기도,1,1,0
,40228361.0,3,13.0,4,18,vip,mobile,광주광역시,1,19,0
55.0,21999491.0,9,14.7,1,23,premium,tablet,인천광역시,0,0,0
24.0,43631027.0,2,12.9,5,29,premium,tablet,부산광역시,1,3,0
22.0,55964562.0,3,3.1,2,14,basic,mobile,부산광역시,0,1,1
46.0,43058950.0,27,3.2,2,10,basic,mobile,대전광역시,0,5,1
42.0,8464758.0,12,3.6,6,5,basic,tablet,울산광역시,0,2,1
,5287132.0,23,7.6,3,27,basic,desktop,서울특별시,1,4,0
,10532469.0,10,3.8,2,29,basic,tablet,부산광역시,1,3,0
,37350525.0,1,6.5,1,25,basic,desktop,인천광역시,0,5,1
26.0,13510151.0,4,5.2,6,13,vip,tablet,경기도,1,0,0
35.0,52965133.0,12,3.6,4,18,basic,desktop,경기도,1,0,0
28.0,12175927.0,5,3.7,0,14,premium,mobile,부산광역시,1,3,0
44.0,56425293.0,24,6.5,1,25,vip,mobile,부산광역시,1,1,0
33.0,11959143.0,5,6.0,1,23,basic,tablet,경기도,1,9,0
26.0,50301816.0,4,3.2,4,19,basic,mobile,경기도,1,1,1
31.0,63375508.0,0,5.7,2,20,basic,tablet,광주광역시,1,5,1
39.0,39914096.0,4,5.1,6,16,premium,tablet,대전광역시,1,4,0
29.0,3672999.0,4,11.3,5,26,premium,mobile,인천광역시,1,2,0
,2165203.0,5,4.0,1,1,basic,desktop,부산광역시,0,5,1
,56106355.0,6,3.7,2,19,premium,tablet,광주광역시,0,5,0
37.0,79295895.0,12,5.2,4,3,basic,desktop,대구광역시,0,13,1
29.0,35077154.0,3,6.4,3,11,basic,desktop,부산광역시,0,17,1
30.0,6200989.0,6,6.5,3,16,basic,mobile,부산광역시,1,12,0
37.0,39349768.0,5,7.5,2,25,premium,tablet,광주광역시,1,5,0
20.0,3259996.0,0,6.2,6,0,basic,mobile,대전광역시,1,2,1
20.0,34054455.0,1,6.2,3,2,basic,tablet,경기도,1,1,1
27.0,12106236.0,3,3.4,3,28,basic,desktop,광주광역시,1,5,1
32.0,62702599.0,10,3.7,2,10,basic,tablet,울산광역시,0,2,1
38.0,58015208.0,14,5.5,2,27,premium,desktop,광주광역시,1,1,0
49.0,23473768.0,8,13.6,2,1,basic,mobile,경기도,1,0,1
43.0,64927514.0,2,6.2,3,21,basic,mobile,부산광역시,1,2,1
33.0,64060511.0,0,4.0,1,22,premium,mobile,서울특별시,1,0,0
34.0,14150806.0,16,13.1,3,21,premium,tablet,경기도,1,5,0
24.0,55592633.0,2,5.6,1,2,basic,tablet,경기도,1,4,1
34.0,11100946.0,8,4.3,5,11,basic,mobile,경기도,0,4,1
32.0,15161946.0,14,4.7,2,10,basic,tablet,서울특별시,1,1,0
,78852702.0,16,4.0,3,5,premium,tablet,광주광역시,1,2,0
26.0,5234797.0,6,5.2,2,0,premium,tablet,서울특별시,1,4,0
40.0,15390626.0,17,6.7,3,28,basic,desktop,대구광역시,0,4,1
50.0,48706743.0,22,5.8,3,17,premium,tablet,경기도,0,2,0
33.0,9351634.0,14,6.4,5,26,basic,mobile,서울특별시,0,2,1
39.0,26952039.0,14,6.9,2,1,premium,mobile,서울특별시,1,4,0
41.0,,0,3.7,1,20,basic,tablet,부산광역시,1,4,1
