year,cpi,flour_index,pork_index,onion_index,minimum_wage,location,special_menu,restaurant_type,delivery_only,coupon_discount,price
2002,40.61892018819753,44.890379964286915,42.52409547980893,30.77805078958115,2275,Seoul,Ganjjajang,Franchise,0,7.4,4600
2001,40.64520468188765,39.95484395458311,45.02893888921118,50.48855208339312,2100,Gyeonggi,Basic,Franchise,0,9.3,2900
1985,18.92087892173114,22.146083899788426,18.233394668874457,24.309127286053084,395,Incheon,Ganjjajang,Normal,0,12.5,1500
1988,21.176397238654562,20.900451711440137,25.55197629033367,,462,Seoul,Basic,Premium,0,10.8,4600
2014,71.36177176047374,68.13966604847059,86.99311538593835,77.40217414260427,5210,Daegu,Basic,Normal,0,10.0,3450
1974,12.029381577099075,10.6018806975702,10.872032866297566,,251,Daegu,Ganjjajang,Premium,0,9.0,4000
2002,42.66986381669735,42.06186742720301,54.97696487474448,39.577541056385094,2275,Seoul,Ganjjajang,Normal,0,9.9,3600
2011,61.772728914056174,52.98902792726306,67.55095271241133,61.16148921796039,4320,Seoul,Ganjjajang,Normal,1,4.8,5150
1984,18.17273190120741,15.032165761257803,20.615498646663973,15.969024071426547,380,Busan,Ganjjajang,Normal,0,1.0,1450
1992,26.436347639439905,26.584467779812947,24.47653673053595,35.106272491051854,925,Incheon,Ganjjajang,Franchise,0,13.6,2750
2014,69.57314219353954,69.41264073887379,77.20378651749137,67.3399243794457,5210,Busan,Basic,Franchise,1,12.9,4900
1988,21.872479657044266,18.4400554743376,25.6349524158536,,462,Gyeonggi,Basic,Franchise,1,6.4,2050
2020,86.05787104156124,103.16067530377045,96.16513484070501,105.43615466089074,8590,Gyeonggi,Ganjjajang,Premium,1,12.8,10300
1993,26.52722687972028,29.587797440851165,27.085165718503635,38.411679605684284,1005,Gwangju,Ganjjajang,Normal,0,1.6,1600
1974,11.619507369733965,12.93277715936866,12.664057865710095,12.845600912025484,243,Daegu,Basic,Normal,0,6.8,50
1989,24.214501556223837,25.915074169539626,22.22565038265121,,600,Incheon,Ganjjajang,Normal,0,13.0,1650
1996,30.204407767451517,28.311053789123864,31.469420961722363,28.95937053247594,1400,Gwangju,Basic,Normal,0,10.2,750
2008,55.05474194879145,50.2503261352439,57.519996823339,64.6251823282029,4000,Gyeonggi,Basic,Normal,0,1.3,3000
2020,90.29734764682243,90.22929521096823,95.91361728409278,108.08399344992898,8590,Seoul,Basic,Franchise,1,10.0,7750
2001,41.00138439716517,39.66592383981043,37.72016620710966,39.8080153424231,2100,Gyeonggi,Basic,Normal,0,12.6,1900
1997,34.265650993261445,30.950021732802597,38.92688998380911,35.987053163474414,1485,Daegu,Basic,Franchise,1,11.1,1900
2018,85.36695424157132,94.96675061121273,81.23525362026803,115.21260784799314,7530,Incheon,Ganjjajang,Normal,1,5.2,5950
1980,15.135471405490126,13.245804979895366,19.57665974389121,18.4784106387852,316,Incheon,Basic,Normal,0,6.1,300
1974,12.182877367937104,11.823764953032718,11.610806004197983,13.831187137348621,254,Seoul,Ganjjajang,Normal,0,6.6,2200
1996,31.288232550664365,29.594743520824647,39.93538413238753,23.238180691120014,1400,Seoul,Basic,Normal,1,3.8,2000
1979,14.91511062600375,14.186221949185828,14.215412615925002,11.89682991393981,312,Incheon,Basic,Normal,0,13.9,300
1981,16.855270463717343,13.659088619197783,16.241248764431113,18.085109976236726,352,Incheon,Ganjjajang,Franchise,0,7.5,2300
1975,12.271689669819121,13.561962097717181,14.617544918170942,11.046148806261659,256,Seoul,Basic,Normal,0,13.8,1250
1994,27.63660366458548,32.752074382365905,30.53545927573575,27.919114012481376,1170,Incheon,Samseon,Normal,0,9.6,2900
1989,24.00912205144059,28.739352078478216,26.07944103326983,30.87766755054567,600,Daegu,Basic,Normal,1,14.2,450
1981,16.958297461714743,16.71561601650184,17.695795732853913,25.396165589895432,354,Seoul,Ganjjajang,Franchise,0,6.3,3350
2009,55.59074523125186,44.500799641196394,59.628581651947584,47.78164777746152,4000,Seoul,Ganjjajang,Franchise,0,10.8,5750
1998,34.994496497736925,30.62824825928895,35.56777436414922,45.05722422567029,1525,Incheon,Ganjjajang,Franchise,1,2.6,3100
1996,32.861475344733144,37.28751059565644,34.00773961895072,35.311899183760914,1400,Seoul,Basic,Normal,0,5.2,2000
1976,12.812779390761488,11.084381439420065,16.497872301764115,,268,Gyeonggi,Basic,Premium,0,1.7,3700
1977,13.108761359620917,14.944264895369484,16.811976761064017,,274,Gwangju,Basic,Normal,0,13.5,50
2001,39.541425182803096,36.980242268080275,38.77538654474347,28.043709998410716,2100,Seoul,Basic,Premium,0,14.0,5350
2014,71.9004421940341,70.85774853243852,72.27431571894465,91.08873581004042,5210,Seoul,Basic,Normal,1,1.0,4650
1978,13.700611318893467,13.861852669554935,14.962391403183478,18.780662056701427,286,Seoul,Samseon,Normal,0,9.0,3250
1973,11.869628914138504,11.20109250617982,11.338019411295189,9.388853730548067,248,Gyeonggi,Basic,Normal,0,0.8,700
2020,92.36301709759192,98.98965771112292,115.8710262928696,87.5132602569565,8590,Busan,Basic,Premium,1,5.5,9050
2021,93.29178406493618,79.09450730268891,114.69522529679097,84.01575741659465,8720,Incheon,Basic,Premium,1,10.1,8850
1985,18.64674385604011,18.755858269069574,23.102133086817705,18.334435182274387,390,Gwangju,Basic,Franchise,0,0.8,1300
2017,81.75236050677655,85.21971495315826,87.66065832675972,58.16257524630448,6470,Daegu,Basic,Franchise,1,10.2,5450
2009,58.07336797900946,48.05626275314368,73.56300422053809,64.40729703624625,4000,Seoul,Ganjjajang,Normal,0,10.6,4450
1988,21.497213464238285,23.634851802477982,27.54588997019304,,462,Seoul,Basic,Franchise,0,14.6,2550
2004,45.59443063102828,37.25718403290852,51.24374573919753,,2840,Gwangju,Ganjjajang,Normal,0,11.7,2650
1973,11.465906873668777,9.5398962804372,12.013142408947926,10.899134002058178,239,Daegu,Samseon,Normal,0,1.0,2000
1970,10.120508699451722,9.413005583425013,9.18978822097186,9.113285597368161,211,Gyeonggi,Basic,Normal,0,9.7,650
2007,51.07776328153017,48.06195115330809,50.06563498432403,43.571201461379545,3770,Gyeonggi,Ganjjajang,Normal,1,5.0,3750
2006,50.54888128414881,52.94323288118574,58.87699409217008,54.23291323974448,3480,Daegu,Basic,Normal,0,8.5,1900
2013,65.2945003691086,61.33467326477126,63.40214158542293,80.17384698402654,4860,Busan,Basic,Normal,0,3.1,3550
2020,91.81671666461692,85.76695795352435,,,8590,Busan,Basic,Normal,0,10.8,5900
2018,86.84499099825385,77.97517593395251,108.08944549631308,128.327796903781,7530,Seoul,Ganjjajang,Premium,1,10.5,9950
2016,74.48854617389487,77.89024960338408,72.75976151991445,,6030,Seoul,Samseon,Normal,0,8.6,7000
1999,35.65945757987082,41.07678596014477,41.19575616690477,,1600,Seoul,Ganjjajang,Normal,0,2.8,3300
2005,47.96435965995281,57.23509614348121,50.68436734054827,66.28416749536186,3100,Busan,Basic,Franchise,0,8.2,2900
1988,23.074736159636558,20.578351236040792,21.073311583621283,26.407337444368345,462,Incheon,Ganjjajang,Premium,0,7.0,4550
1988,21.8641649899654,19.479322101015516,25.19389754755183,27.62068609875674,462,Seoul,Samseon,Normal,0,11.9,3500
2003,42.915305949758846,45.88920662006386,38.91283965982913,55.82262580719138,2510,Gyeonggi,Basic,Normal,1,7.9,2100
1974,11.460390372629348,12.066258229723875,11.890297369215077,8.722519478405365,239,Daegu,Basic,Franchise,0,14.9,1000
2012,62.185939332614495,71.02712469823258,64.56527322956208,73.52857724760938,4580,Seoul,Ganjjajang,Franchise,0,4.1,6400
2015,73.65640278306607,73.45899335345561,77.48885227680474,83.19773699884912,5580,Gyeonggi,Samseon,Normal,0,7.3,6400
1978,14.61501732672737,17.12522461486034,,16.25643729478277,305,Gyeonggi,Ganjjajang,Normal,0,1.7,1800
1990,24.88401313413343,28.009719790527193,26.17849171639399,24.600206498426843,690,Gyeonggi,Basic,Normal,0,3.2,1100
1980,14.872509238522895,13.187343826764403,14.074616985438613,12.15807920614429,311,Incheon,Basic,Premium,0,11.4,3300
2017,76.03080360251403,60.93384564423719,68.50464618277607,106.33679237158937,6470,Seoul,Samseon,Premium,0,7.1,10850
1996,32.71161207926498,39.227770491952825,30.518853133075115,27.99917100292519,1400,Busan,Basic,Franchise,1,7.3,2000
1978,14.724011317556958,15.651728112064767,15.294358304297212,11.038480101886554,308,Seoul,Ganjjajang,Premium,0,7.7,5300
1981,16.205834690828453,18.045111119300653,17.76973840952002,15.086524801482218,339,Incheon,Samseon,Normal,0,25.18091588624902,2350
1972,11.143679219119008,10.983274048205981,10.110594638959062,11.963045616802265,233,Seoul,Ganjjajang,Normal,0,9.6,2150
2017,81.3346584854604,80.07139405179281,94.02636488385097,68.0702135305924,6470,Daegu,Basic,Franchise,1,4.7,5400
1998,33.928512974775,33.92314579658884,31.145572978688612,30.398530184100974,1525,Daegu,Basic,Normal,1,4.4,1050
2004,46.30522324468805,53.42295504323516,51.37894160851972,45.84886234468975,2840,Incheon,Basic,Normal,0,12.3,1750
1996,30.874298650947345,34.21757474377476,38.72197893423052,32.53410854003177,1400,Gwangju,Basic,Normal,0,7.9,800
1997,32.539648313558125,35.099871131637954,37.72369316061315,40.25321079127821,1485,Seoul,Ganjjajang,Normal,1,6.2,3050
2020,90.70811585850628,96.72017443126177,99.08568603833555,66.23226092803097,8590,Gwangju,Basic,Normal,1,0.3,5950
1976,13.165897898540223,13.12145210330128,14.989798481252498,17.548939029008466,275,Gwangju,Basic,Normal,0,9.1,50
1990,25.109321722938123,22.26010400119358,29.384320766401267,29.77330623857088,690,Gyeonggi,Ganjjajang,Normal,0,6.3,2100
1995,29.407747545696527,25.494062060087707,37.118452959805694,36.6626801605904,1275,Incheon,Ganjjajang,Normal,1,7.0,1900
2006,48.61288846719894,49.95371741712167,61.44463366097867,50.21899510978443,3480,Busan,Basic,Normal,0,3.0,2000
1983,17.262541549290372,18.713231095644314,18.3649981298217,25.175132442709447,361,Incheon,Basic,Normal,0,11.4,350
2008,54.828908573206775,46.718371093005345,59.332139591257885,65.71450408127394,4000,Seoul,Basic,Franchise,0,1.9,4450
1976,12.990754222638154,14.100846866855273,15.207683052635705,13.477721013672637,271,Gyeonggi,Ganjjajang,Normal,0,0.6,1750
2000,37.24998925294282,36.27120198782894,44.5819518448133,29.819791087553597,1865,Incheon,Basic,Normal,0,6.5,1300
1993,28.37105237083751,25.329958239152674,32.161823527092174,36.58572750261321,1005,Gwangju,Samseon,Normal,0,13.5,2600
1991,24.968007877919675,23.74298641043524,28.58420136347607,18.596138802025656,820,Busan,Ganjjajang,Franchise,0,7.4,2750
1975,12.719837887493382,12.030366659492893,15.618170353371266,17.952299978036148,266,Seoul,Basic,Normal,0,12.8,1250
2005,45.91708560335498,44.46504661683156,51.88692180984517,57.575401683838656,3100,Busan,Basic,Franchise,0,12.9,3000
1988,21.034885943107344,21.211753148807464,21.224127474120667,18.624042647078905,462,Seoul,Basic,Normal,0,2.9,1600
1991,26.171899380361204,28.34291807757882,24.860033460306745,22.321196601255878,820,Gyeonggi,Ganjjajang,Franchise,1,0.2,3250
1996,30.307711480759068,35.98058490358406,37.42321516503257,35.08493893713204,1400,Gyeonggi,Ganjjajang,Normal,0,8.9,2500
1976,13.185610328773024,14.686118879448514,16.181654934972308,,275,Gyeonggi,Basic,Normal,0,6.3,750
2002,39.857352630428835,38.26555120051603,36.98748917242142,38.010780014125636,2275,Incheon,Ganjjajang,Normal,1,4.9,2500
2002,39.33619711127221,42.351421009178274,42.953517464692325,44.68874598018211,2275,Gwangju,Ganjjajang,Franchise,0,0.2,3350
2012,60.714035792464124,57.51205752571812,72.54603421305306,65.91497430522543,4580,Busan,Basic,Franchise,0,8.3,4250
1974,12.025138280311639,11.807568552298344,15.105623185743305,14.8504398790959,251,Gyeonggi,Basic,Normal,0,6.4,700
2006,48.46996256414099,39.803060233825015,55.20186724430201,61.75361678550499,3480,Busan,Basic,Premium,1,6.7,4950
2009,58.202593789365395,67.09785003654001,56.69667495844944,65.38296048164067,4000,Seoul,Basic,Normal,0,9.4,3600
2023,100.41939339273975,91.65744063047103,120.92336369595965,133.9573820738565,9620,Gyeonggi,Ganjjajang,Franchise,1,10.8,9100
1971,10.6749540839214,12.344125951822729,10.3130385665953,9.173277122282135,223,Seoul,Ganjjajang,Normal,0,6.9,2150
1992,27.043486622100726,28.388667795488427,26.89920651199953,,925,Seoul,Ganjjajang,Franchise,1,14.9,3750
2008,53.51922542115187,47.336331024715506,64.38609716001747,,4000,Gyeonggi,Basic,Normal,1,6.6,2950
2005,46.643534200017925,47.4929036778202,51.86424339405456,35.70745829279961,3100,Busan,Basic,Normal,0,0.4,1800
2020,94.68455686868536,95.96486199679518,120.43881002826696,,8590,Daegu,Basic,Franchise,0,9.4,6200
2022,99.13377554071576,82.847238153548,100.87312289252355,,9160,Incheon,Basic,Franchise,0,12.5,7500
1987,20.714724514200466,19.473576090003533,24.71840861666018,24.938965023977328,433,Seoul,Samseon,Premium,1,5.4,6500
2010,56.782018253099125,56.433865842542794,60.784413974335955,57.54865610034244,4110,Gwangju,Basic,Normal,0,8.9,2500
2000,36.70380293098157,30.582216189520835,39.37656781033937,45.526002394966845,1865,Busan,Basic,Franchise,1,7.1,2250
1981,15.761431795447283,13.181419483434263,15.844231959074975,14.3221368869822,329,Seoul,Basic,Normal,0,9.4,1350
1998,32.90696112041775,33.57688227703914,40.19853894705991,34.34672064495266,1525,Daegu,Basic,Normal,0,8.2,900
2021,93.14986437930558,84.95569204546027,90.62930279394024,102.49977028122753,8720,Daegu,Ganjjajang,Normal,1,9.0,7250
1998,35.37868129830782,29.56927806680388,40.63107935956685,46.79010106057189,1525,Seoul,Ganjjajang,Normal,0,0.8,3200
2004,46.32044984194681,40.438062181472674,52.349579002234,66.54338724715181,2840,Gwangju,Basic,Franchise,0,0.6,2650
2019,89.42231745542657,87.11907778358858,110.26012964753984,,8350,Gyeonggi,Basic,Normal,0,8.7,5700
2021,90.16533991375933,80.20837871525477,,107.92650211295937,8720,Busan,Basic,Normal,1,7.5,6200
2001,40.622339704287405,47.74393059633,44.282030751366136,33.72049352934055,2100,Seoul,Basic,Normal,1,0.0,2400
1998,32.81571893410463,28.739261880685177,31.72723849535035,35.067812539871284,1525,Seoul,Basic,Normal,1,1.7,2150
1985,18.621772709090088,15.930226764995506,21.88705447349674,20.87114669072173,389,Gyeonggi,Ganjjajang,Normal,0,8.2,1950
2016,76.26699734319374,71.17791766969398,98.55871437140473,89.86062431028374,6030,Daegu,Ganjjajang,Franchise,1,6.4,6200
1993,28.63998013615435,29.53501819195015,31.536845083182847,26.17824802303518,1005,Seoul,Ganjjajang,Franchise,0,4.8,3750
2019,84.70581703927755,74.83477680030335,103.5970280522764,82.6219574947787,8350,Daegu,Basic,Normal,0,7.8,4950
2007,51.57179673721965,49.137476960370186,46.64331841336801,60.884459688578865,3770,Gyeonggi,Samseon,Normal,1,6.9,4600
1997,33.94663245546652,27.670058685520438,32.38623114592494,43.185665781602786,1485,Seoul,Basic,Franchise,0,7.6,3150
1971,9.968326738400068,9.496739126505384,8.996889500815671,10.672378599162544,208,Gwangju,Basic,Premium,0,3.8,2950
1974,11.44263509010498,11.742225162230396,14.219049438549368,14.653814306186813,239,Seoul,Basic,Normal,1,8.8,1200
1974,12.007140041097466,13.597045269717869,11.22205451996513,9.916446766981984,251,Gyeonggi,Ganjjajang,Normal,0,10.6,1700
2009,55.09180582966126,57.7594954704523,68.17478335222546,,4000,Gyeonggi,Basic,Normal,0,11.1,3150
1991,23.942630277373837,23.928812451903408,30.473672239737006,29.716661221003577,820,Seoul,Basic,Franchise,0,3.6,2650
1979,15.178520011293779,16.199344629242045,19.10431360265365,14.045570732010647,317,Gyeonggi,Basic,Premium,0,9.1,3800
2018,80.72962429546823,85.99216511246028,96.96172148938378,63.36299480355903,7530,Gyeonggi,Basic,Premium,1,4.3,8300
2002,40.5649907490989,41.51827846834452,38.18316522640287,55.1611298711597,2275,Seoul,Ganjjajang,Franchise,0,8.4,4550
2013,65.1588667804958,77.49790114131844,70.59393239952901,84.40512487243625,4860,Busan,Basic,Franchise,0,15.0,4600
1998,34.11048949142981,35.33969806440489,36.01078973445242,24.178308509726705,1525,Busan,Samseon,Normal,0,9.6,3150
1973,11.446000463097047,13.625097804419621,10.754541350263786,16.443814028663898,239,Seoul,Ganjjajang,Normal,0,3.4,2200
1995,30.272203415117175,29.76552149934905,33.40225684318404,25.56487098295301,1275,Seoul,Basic,Normal,0,4.8,1950
1987,20.526587342852704,18.40666071682367,21.6777355132996,16.120445567312593,429,Incheon,Basic,Normal,0,11.4,500
1978,14.40022163070878,14.835109775588597,14.520100637122926,16.28549056578521,301,Seoul,Basic,Franchise,0,8.9,2300
1979,15.419753389329268,12.422421833503371,18.281350346516433,16.740665645759364,322,Seoul,Samseon,Normal,0,3.4,3300
2012,62.48768790275977,64.38227799875642,64.45733988914584,,4580,Seoul,Ganjjajang,Normal,0,5.7,5100
1980,14.976338693798048,15.791522238351101,18.81343019707422,14.60437004236721,313,Seoul,Ganjjajang,Premium,0,10.0,5350
2007,48.54889488719613,46.29246609250685,52.2395954995369,53.943707942105654,3770,Gwangju,Ganjjajang,Premium,1,8.6,6200
2019,86.59227876819786,87.85695474017285,82.98105881554949,78.94624319868038,8350,Gyeonggi,Ganjjajang,Franchise,0,7.8,7800
1999,35.79454745366707,30.505235271376463,32.37023884265712,53.01399134319282,1600,Incheon,Ganjjajang,Franchise,1,8.0,3250
1979,14.375475996195838,13.706416016816094,18.55421134116557,12.338233680661586,300,Gyeonggi,Basic,Premium,0,1.4,3800
2006,48.76047340970001,45.326351732890295,45.00674046726545,,3480,Busan,Basic,Normal,1,4.1,2050
2017,81.89539505243286,93.06824981505083,92.40914005559605,98.51177777711543,6470,Busan,Basic,Premium,0,1.4,7900
1978,14.189291017718904,16.645039049401706,15.944167975377216,17.43151965854322,296,Busan,Basic,Franchise,0,1.0,1300
2015,72.80598687461472,80.87653039285551,75.80978460489376,78.82415915752983,5580,Seoul,Basic,Normal,0,5.9,5150
1990,22.913777409863968,22.38671225604277,24.23242450022747,,690,Gyeonggi,Basic,Normal,0,9.0,1150
2006,47.3574025693205,40.88136254077363,54.497671836840254,61.82808333396524,3480,Daegu,Ganjjajang,Normal,0,10.1,2900
1981,16.961519999907473,19.442726090830323,15.611832905102537,24.296914848680338,354,Seoul,Basic,Normal,0,5.9,1350
2008,53.478899733212295,61.63782703165611,49.39538153461232,37.88656338217787,4000,Daegu,Basic,Normal,0,9.5,2250
2023,100.90136070438928,92.06989165568689,120.4003080567052,76.66875054174118,9620,Busan,Ganjjajang,Franchise,1,5.2,9150
2014,69.37854840824093,73.14335713238471,79.13044772185488,67.70548238360617,5210,Daegu,Samseon,Franchise,0,7.8,6750
2022,97.74765630611581,94.1815807993074,97.35103166045843,93.33285960863911,9160,Busan,Basic,Franchise,0,10.9,7450
1978,14.47932285156937,11.587708256820736,17.56339154582082,20.390245653290982,302,Gwangju,Basic,Normal,0,13.8,100
2020,91.36205143247176,108.75707806534142,96.67300753807787,86.56838512635953,8590,Busan,Basic,Normal,1,8.2,5950
2016,73.97306575503009,78.63816449973052,79.77389851878164,91.5341964414668,6030,Busan,Basic,Franchise,0,14.6,5200
1987,21.22870282421398,22.386346193307777,20.59676072552043,22.739864001885877,444,Gyeonggi,Basic,Normal,0,0.2,1000
1989,22.513980866078185,18.30077272727197,23.649635516327507,18.807271960053427,600,Gwangju,Ganjjajang,Premium,0,12.6,4450
1997,32.17159071708741,37.83797038695695,38.19364965463402,25.601822873685286,1485,Seoul,Ganjjajang,Normal,0,0.1,3000
1982,17.69341114300911,14.160326763350431,19.424025195751927,15.451717594626281,370,Busan,Basic,Premium,1,9.1,3400
2017,76.790386259843,69.89995367226618,88.94355982643519,86.33472608833196,6470,Daegu,Samseon,Franchise,1,9.8,7500
1977,13.04764386700634,12.255990912471928,13.782760133539343,11.040706401121751,272,Seoul,Basic,Normal,0,1.5,1250
2007,52.21194185920898,54.462145911037304,56.561628031083266,56.24378063919717,3770,Gyeonggi,Ganjjajang,Premium,0,3.8,47248
1970,10.486988307701532,8.72324480367146,11.521232070131731,,219,Gyeonggi,Basic,Premium,0,14.0,3650
2000,35.81424062682666,34.145345102761084,35.044235120691376,46.514711892834626,1865,Incheon,Ganjjajang,Premium,0,4.6,5250
1985,19.746458718997072,19.922373164335657,20.059676560326114,,413,Daegu,Ganjjajang,Normal,0,4.5,1250
2007,52.3387120908225,51.739020434760924,60.77656827632666,,3770,Daegu,Basic,Normal,0,6.1,1900
2011,59.848599007817924,60.645241845239404,54.22579211656709,44.55579640149395,4320,Incheon,Basic,Normal,0,4.3,2800
2004,45.46405471099402,44.397231524811026,53.774972790112464,47.68974367724941,2840,Busan,Basic,Normal,0,2.4,1850
2022,93.71598990573396,105.09494252066919,106.21271408945549,80.42389965367947,9160,Seoul,Basic,Normal,1,6.2,7300
1996,31.233378286105975,34.0691224469534,31.736289902286615,36.45132430680019,1400,Gyeonggi,Basic,Normal,0,4.7,1450
1987,21.970602514344705,20.332962046909884,22.706557070485704,23.325904762904372,459,Seoul,Ganjjajang,Normal,0,9.2,2550
2011,59.568575483764285,47.87665951357517,53.65299978080425,51.56611807847861,4320,Seoul,Samseon,Normal,0,4.0,6100
1975,11.961525485520864,10.206976663693014,14.11382444898208,11.465525221458966,250,Daegu,Basic,Normal,0,3.8,50
1971,10.404181679580564,11.934647583414094,11.497364640164573,14.186107527715254,217,Daegu,Basic,Normal,0,12.7,50
2001,38.902259539965804,37.75080801207566,36.79189150335511,51.68424028990816,2100,Busan,Basic,Normal,0,12.9,1500
2005,47.61199601421255,54.0300858641575,56.107398559026564,,3100,Gyeonggi,Basic,Normal,0,8.5,2550
1972,10.490191193053828,10.495301862692852,9.802392601616026,9.629138671029757,219,Seoul,Basic,Normal,0,4.8,1200
1988,21.210066428891754,25.156609258571024,26.58738050725822,21.79583623988491,462,Seoul,Ganjjajang,Premium,1,9.8,5600
1976,12.441365281117433,13.855239287350178,13.220538580191818,12.445087365445586,260,Busan,Basic,Normal,0,3.0,250
2001,40.48543130918131,42.221453389993144,47.15683259013279,,2100,Seoul,Basic,Normal,0,0.6,2400
1993,26.496751275004215,27.015409551261193,27.112623925436115,19.490667300051665,1005,Seoul,Basic,Normal,1,11.7,1800
2000,35.585410965180756,37.49780709654631,34.091869355272586,32.57994605878894,1865,Gyeonggi,Basic,Franchise,0,8.3,2800
2023,102.57067167819089,117.82063518619067,126.02903345256597,92.612799601376,9620,Seoul,Ganjjajang,Normal,1,11.3,8700
2005,44.76541463302103,45.32197414382916,53.5161622505608,,3100,Busan,Basic,Premium,0,9.5,5050
2006,49.37991806218504,44.03806033566712,55.55073607081206,51.4802453184358,3480,Busan,Ganjjajang,Franchise,1,13.6,4000
2013,63.77493052292484,60.74170603579504,58.27676669755936,,4860,Seoul,Ganjjajang,Normal,1,4.2,5250
2016,72.54226464744288,69.64492158083684,,77.25397522844018,6030,Gyeonggi,Basic,Normal,1,11.6,4750
2022,99.13960359060606,94.01339659764876,123.85358483836445,,9160,Gyeonggi,Basic,Franchise,1,5.6,8300
1999,36.02778485736775,39.87777250982906,44.48649203287233,38.417585927781246,1600,Gwangju,Basic,Normal,0,3.1,1000
2015,74.30442016035431,81.8052667498255,75.4636659912515,57.75760414565255,5580,Seoul,Ganjjajang,Normal,0,9.8,6100
2001,38.89329357770339,44.09222026658195,42.283579667120925,49.69801718957967,2100,Gwangju,Basic,Franchise,0,12.9,2300
1977,13.86098679256664,13.650326220570308,13.410129799470175,,289,Daegu,Samseon,Normal,0,0.8,2050
2009,54.13661335942507,62.47916636474334,60.93457343866152,43.53248882070746,4000,Seoul,Basic,Franchise,1,3.9,4600
2003,43.78490600761046,41.673278242310154,56.90522692985996,50.68237150308719,2510,Gwangju,Ganjjajang,Normal,0,2.5,2550
1992,27.628194305575953,28.18217123381873,34.3864540399324,20.580507099588623,925,Seoul,Basic,Normal,0,4.0,1750
2004,44.74304870596529,52.518209652540556,41.55371944985728,42.85566453456355,2840,Gyeonggi,Basic,Normal,0,4.8,2150
2006,47.55531161860796,52.734781175245665,50.73269781384984,51.8394317483027,3480,Busan,Basic,Franchise,1,3.1,3150
